"symbol","logFC","logCPM","F","PValue","FDR"
"ADAMTS13",-2.89111926542515,3.28503111828599,497.711229973718,5.03087810977404e-74,1.03138032128478e-69
"OIT3",-3.56788899916251,4.23373623668562,472.105468294806,2.15978647889835e-71,2.21388913019476e-67
"ECM1",-3.03612136576936,3.87012062516248,344.067509193732,5.40024647594036e-57,3.69034843344178e-53
"CSRNP1",-2.20108888990572,5.36514995236504,342.063000451505,9.46909561451885e-57,4.85314822983127e-53
"CCL23",-3.95640294731769,-1.63415509677944,329.380397662393,1.5832409999967e-54,6.49160474818646e-51
"CFP",-3.36367791653709,3.0498453033811,318.363191400323,8.10918251962545e-54,2.77077251391402e-50
"BMPER",-4.54152653640845,0.740495597880867,313.782498588,3.06559216558669e-53,8.97824356952753e-50
"RND3",-2.45895698859309,5.60543675217275,299.589454987915,1.9900997232429e-51,5.09987930327534e-48
"RCAN1",-2.33558414022927,6.15749755214627,292.924752393436,1.4525748591163e-50,3.30880413186036e-47
"ANGPTL6",-3.0138767099725,2.6738157731548,283.779740193424,2.28951588575005e-49,4.69373651737618e-46
"DBH",-3.62935314344642,2.93570012493125,278.860262418846,1.0241507567316e-48,1.90873769670496e-45
"PLVAP",2.97071402188176,6.53656946431067,278.172560006819,1.26379245589897e-48,2.15908409486541e-45
"LRAT",-3.26955231441923,1.29588144352148,271.412971639341,1.00916980622999e-47,1.59146078442469e-44
"STAB2",-5.12949739278216,2.15578332120285,269.871923970647,1.62513061519896e-47,2.37977162444242e-44
"VIPR1",-3.53545314847864,2.60474350375052,263.421829385991,1.20771301402141e-46,1.65062163336352e-43
"PTH1R",-3.31774239423235,2.39930572696344,260.315422587099,3.19436346782584e-46,4.0929778408686e-43
"ZFP36",-2.09896589354505,7.2804793855331,256.678864077792,1.00306191337479e-45,1.20963366388803e-42
"CPEB3",-2.33824751824853,3.71614910593963,254.219715119217,2.18210294407451e-45,2.48529402535953e-42
"CLEC4G",-5.29373480243191,3.3743894336389,252.662790728398,3.57447225521872e-45,3.856855563381e-42
"LIFR",-2.79507315028485,4.1920457451176,248.054911860428,1.55042830565155e-44,1.58926653470812e-41
"NDST3",-4.3743817612108,-1.98959446380327,247.55981239889,1.81626544159679e-44,1.77310751515122e-41
"GABRD",4.88190417466275,1.72966443562247,290.004223761056,2.77825254786243e-44,2.58895252198762e-41
"FCN2",-4.9789312030956,3.04536524989752,244.45171157787,4.91800057507948e-44,4.3836491212915e-41
"CRHBP",-4.4365414962857,3.70102756576006,240.119581542144,1.98664697445036e-43,1.69701040096695e-40
"TRIB1",-1.94870970049746,6.95788462346094,239.129421719849,2.73689449089205e-43,2.24436295831112e-40
